date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:25	101/101	---MCZ	200	added ('OK')	text/plain	etag:W/%22616558d4e092051f3eb5b9cefb3f6b9c%22	https://degeneth.xyz/robots.txt		(from )
13:02:26	20286/20286	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2017:02:25%20GMT	https://degeneth.xyz/	/home/xx/websites/degenETH/degeneth.xyz/index.html	(from )
13:02:27	8688/8688	---MCZ	200	added ('OK')	text/css	etag:W/%22b210e3a9c179b214455e8ebe4e11d775%22	https://degeneth.xyz/css/index.79dc23f9db103c3b82050bf901adbf14.css	/home/xx/websites/degenETH/degeneth.xyz/css/index.79dc23f9db103c3b82050bf901adbf14.css	(from https://degeneth.xyz/)
13:02:28	6570950/6570950	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285494b067166f5679482a3bb641e01f0%22	https://degeneth.xyz/js/vendor.518dd395d69e584a0d7a21b8f638f908.js	/home/xx/websites/degenETH/degeneth.xyz/js/vendor.518dd395d69e584a0d7a21b8f638f908.js	(from https://degeneth.xyz/)
13:02:29	42464/42464	---MCZ	200	added ('OK')	application/javascript	etag:W/%224170f1e4c0d033d9d56a22cc40d3cb59%22	https://degeneth.xyz/js/app.4e0f61e787f46c916534b8333626a107.js	/home/xx/websites/degenETH/degeneth.xyz/js/app.4e0f61e787f46c916534b8333626a107.js	(from https://degeneth.xyz/)
13:02:29	259/259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b6631a0906aeda7615d004a780054851%22	https://degeneth.xyz/favicon.svg	/home/xx/websites/degenETH/degeneth.xyz/favicon.svg	(from https://degeneth.xyz/)
13:02:30	223/223	---MCZ	200	added ('OK')	application/json	etag:W/%229c0648da074264569e67c3192face922%22	https://degeneth.xyz/manifest.json	/home/xx/websites/degenETH/degeneth.xyz/manifest.json	(from https://degeneth.xyz/)
13:02:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2012%20Apr%202023%2017:02:31%20GMT	https://degeneth.xyz/reflections	/home/xx/websites/degenETH/degeneth.xyz/reflections	(from https://degeneth.xyz/)
13:02:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2012%20Apr%202023%2017:02:32%20GMT	https://degeneth.xyz/staking	/home/xx/websites/degenETH/degeneth.xyz/staking	(from https://degeneth.xyz/)
13:02:34	20752/20752	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2017:02:33%20GMT	https://degeneth.xyz/staking/	/home/xx/websites/degenETH/degeneth.xyz/staking/index.html	(from https://degeneth.xyz/)
13:02:34	16010/16010	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2017:02:33%20GMT	https://degeneth.xyz/reflections/	/home/xx/websites/degenETH/degeneth.xyz/reflections/index.html	(from https://degeneth.xyz/)
13:02:35	211808/211808	---MCZ	200	added ('OK')	application/javascript	etag:W/%229a259e9c079741b18e13ce007b6b4f32%22	https://degeneth.xyz/js/ethers_helper.1e65d565b169c930e6e836ff9a1c8465.js	/home/xx/websites/degenETH/degeneth.xyz/js/ethers_helper.1e65d565b169c930e6e836ff9a1c8465.js	(from https://degeneth.xyz/reflections/)
13:02:35	4833/4833	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Apr%202023%2017:02:35%20GMT	https://degeneth.xyz/js/	/home/xx/websites/degenETH/degeneth.xyz/js/index.html	(from https://degeneth.xyz/reflections/)
13:02:36	82638/82638	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da90de10c8f01b908d8b85ee13f21710%22	https://degeneth.xyz/js/optimism_helpers.981a7cad0bae76030669bd0d7eec29bd.js	/home/xx/websites/degenETH/degeneth.xyz/js/optimism_helpers.981a7cad0bae76030669bd0d7eec29bd.js	(from https://degeneth.xyz/reflections/)
13:02:37	67388/67388	---MCZ	200	added ('OK')	application/javascript	etag:W/%22047d669e3c2157b42dddd05e1ace8dbd%22	https://degeneth.xyz/js/prices.c0dc202783d03767f9c41e630ab2ea19.js	/home/xx/websites/degenETH/degeneth.xyz/js/prices.c0dc202783d03767f9c41e630ab2ea19.js	(from https://degeneth.xyz/reflections/)
13:02:38	29551/29551	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da2468acadc4b3b21ca7982d068a9a77%22	https://degeneth.xyz/js/deth_reflections.260def5d7fad73478d1a828fe0c80dd4.js	/home/xx/websites/degenETH/degeneth.xyz/js/deth_reflections.260def5d7fad73478d1a828fe0c80dd4.js	(from https://degeneth.xyz/reflections/)
13:02:39	40076/40076	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c608b2f8da764c9ecdffa27e3235fd1b%22	https://degeneth.xyz/js/bandit_staking.decef3df34949e60d490514adb1cdb03.js	/home/xx/websites/degenETH/degeneth.xyz/js/bandit_staking.decef3df34949e60d490514adb1cdb03.js	(from https://degeneth.xyz/staking/)
13:02:40	585/585	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Wed,%2012%20Apr%202023%2017:02:39%20GMT	https://degeneth.xyz/js/app.4e0f61e787f46c916534b8333626a107.js	/home/xx/websites/degenETH/degeneth.xyz/js/app.4e0f61e787f46c916534b8333626a107.js	(from https://degeneth.xyz/)
13:02:40	585/585	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Wed,%2012%20Apr%202023%2017:02:39%20GMT	https://degeneth.xyz/js/vendor.518dd395d69e584a0d7a21b8f638f908.js	/home/xx/websites/degenETH/degeneth.xyz/js/vendor.518dd395d69e584a0d7a21b8f638f908.js	(from https://degeneth.xyz/)
13:02:40	223/223	UR-MCZ	200	added ('OK')	application/json	etag:W/%229c0648da074264569e67c3192face922%22	https://degeneth.xyz/manifest.json	/home/xx/websites/degenETH/degeneth.xyz/manifest.json	(from https://degeneth.xyz/)
13:02:40	585/585	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Wed,%2012%20Apr%202023%2017:02:39%20GMT	https://degeneth.xyz/js/ethers_helper.1e65d565b169c930e6e836ff9a1c8465.js	/home/xx/websites/degenETH/degeneth.xyz/js/ethers_helper.1e65d565b169c930e6e836ff9a1c8465.js	(from https://degeneth.xyz/reflections/)
13:02:41	585/585	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Wed,%2012%20Apr%202023%2017:02:40%20GMT	https://degeneth.xyz/js/optimism_helpers.981a7cad0bae76030669bd0d7eec29bd.js	/home/xx/websites/degenETH/degeneth.xyz/js/optimism_helpers.981a7cad0bae76030669bd0d7eec29bd.js	(from https://degeneth.xyz/reflections/)
13:02:41	4833/4833	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Apr%202023%2017:02:41%20GMT	https://degeneth.xyz/coffin-emoji-clipart-md.png	/home/xx/websites/degenETH/degeneth.xyz/coffin-emoji-clipart-md.png	(from https://degeneth.xyz/favicon.svg)
13:02:43	16010/-1	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2017:02:42%20GMT	https://degeneth.xyz/reflections/	/home/xx/websites/degenETH/degeneth.xyz/reflections/index.html	(from https://degeneth.xyz/)
